Category,Subcategory,Title ,Text,IsRestricted
History,Antebelluvian ,Creation Myths,"""This book collects a variety of creation myths

'Vektron, the Stars, Oqular, the Sun and Scriveen, the Moon, looked down from the sky and created the world below
Oqular, the eye of truth, created the shining Metallic Dragons and the Sun Elves in their great cities
Scriveen, the wolf’s howl, created the wild Chromatic Dragons and the Moon Elves in their nomadic tribes
Vektron, the hand that guides the stars, saw that this was good, and set the turning wheels of fate into motion'""",
History,Antebelluvian ,Stars And Gems: The Myths,"""This book deals with the mystery of Star Elves and Gem Dragons

'It is well known that triads are powerful - there are three sets of three Deities and this pattern extends throughout the world. So why then, are there only two kinds of elves, and two kinds of dragons? Oqular created the Metallic Dragons and the Sun Elves. Scriveen created the Chromatic Dragons and the Moon Elves. There are various myths and legends of beings created by the third Deity of the Sky Above - Children of Vektron, Gem Dragons, with scales like shining crystals, and Star Elves, with skin like the night sky and hair shining with starlight'
The book goes on to collect a variety of these myths but ends with the conclusion that Vektron is too perfect to create something that would then disappear into legend - so Vektron must have been too far above to create living creatures""",
History,Antebelluvian ,Gigantogol,"""This book gives a summary of giant lore and how the Sky Deities used Giants to shape the world below

'Scriveen created Hill Giants to shape the Lands
Oqular created Stone Giants to carve the Mountains
Scriveen created Frost Giants to unfurl the Glaciers
Oqular created Fire Giants to erupt the Volcanoes
Scriveen created Cloud Giants to burst the Rains
Oqular created Storm Giants to howl the Winds'
The book goes into great detail concerning the Giants role in the shaping of the world and how they were sealed away when they were no longer needed
For more info see Postbelluvian History""
",
History,Antebelluvian ,Epics of the Elvenfall - Collected by Folduin Aehice,"""(Elvish)
This book contains a collection of Moon Elf poems detailing how the Sun Elves are to blame for the Elvenfall - when the Elves lost their immortality
'The walls of their city a cage
The Wolf's Howl did rage'""
",
History,Antebelluvian ,Ballads of the Elvenfall - Collected by Iakhalathar For'whinwhey,"""(Elvish)
This book contains a collection of Sun Elf poems detailing how the Moon Elves are to blame for the Elvenfall - when the Elves lost their immortality
'The artistry of enlightenment, the edification of enligtenment forsooth
Were ever mocked by unkempt wilderness beneath the Eye of Truth'""
",
History,Antebelluvian ,Gods of the World Below,"""A series of books and scrolls detailing the creation of the Worldly Gods - after the Elvenfall the Deities of the Sky realised that the World Below was not suitable for mortals and would need to be changed

'Oqular created Falstriss, Goddess of Invention, Mother of the Humans and Dwarves. She would teach mortals how to progress and strive.
Scriveen created Heonn, God of Family, Father of the Halflings and Treefolk. He would teach mortals how to live together and farm the land.
Vektron created Arkvile, Goddess of Death, Mother of the Orcs and Goblins. She would leave the mortal realm, and shepherd the mortal souls once their time had come'
Some of the books downplay Vektrons involvement in Arkvile - implying that she was created by all three Sky Deities
For more info see the Religion section""",
History,Antebelluvian ,The Demigods,"""A series of books and scrolls detailing the Union of Heonn - God of Family - with Falstriss - Goddess of Invention - and the birth of their three children the Demigods

'Maween the Scholar, who spent her time with the most learned of mortals, ever researching
Jaharas the Pirate Lord, who spent his time with the bravest of mortals, ever adventuring
Driselle the Shadow Thief, who spent her time with the most cunning of mortals, ever scheming'
For more info see the Religion section""",
History,Antebelluvian ,Starfall,"""Scrolls detailing the star that fell to earth, and the great tower built in the crater, becoming a meeting place for the Gods who walk the earth, Demigods and mortals""",
History,Antebelluvian ,Arkvile's Rebellion and the First War,"""Details on how Arkvile became jealous of Heonn and Falstriss in the Mortal world - 

'And so the gates to the underworld were flung open and Arkvile's servants were unleashed. Legions of marauding demons and hordes of savage undead set upon the mortal plane. 
The world below was unprepared, and gentle Heonn was captured as his farms burned
With a heavy heart, Falstriss approached her Forge
She knew there was only one invention that could stop Arkvile's forces and rescue her beloved
But she feared that the World would never be the same
With tears dripping onto the hot metals
Falstriss invented War'


",
History,Antebelluvian ,Tales from the First War,"""Many works deal with tales of the First War
How the elvish hero Folovar Q'avalish dueled a Demon Lord on the heights of the tallest mountain in the world
Jaharas the Pirate Lord's many desperate battles aboard his ship, The Dragons Pride
The tragic loss of Elediun Fields""
",
